title,level,parentcatno
Activewear,Level 1,
Men's Clothing,Level 2,
T-Shirts,Level 3,
Tanks & Singlets,Level 3,
Long Sleeve Tops,Level 3,
Polos,Level 3,
Shorts,Level 3,
Joggers,Level 3,
Track Pants,Level 3,
Hoodies,Level 3,
Sweatshirts,Level 3,
Jackets,Level 3,
Compression Tops,Level 3,
Compression Bottoms,Level 3,
Base Layers,Level 3,
Women's Clothing,Level 2,
Sports Bras,Level 3,
T-Shirts,Level 3,
Tanks & Singlets,Level 3,
Long Sleeve Tops,Level 3,
Shorts,Level 3,
Leggings,Level 3,
Tights,Level 3,
Joggers,Level 3,
Hoodies,Level 3,
Jackets,Level 3,
Compression Tops,Level 3,
Compression Bottoms,Level 3,
Unisex Clothing,Level 2,
Socks,Level 3,
Underwear,Level 3,
Base Layers,Level 3,
Footwear,Level 1,
Running Shoes,Level 2,
Road Running,Level 3,
Trail Running,Level 3,
Racing Shoes,Level 3,
Training Shoes,Level 2,
Cross Training,Level 3,
Weightlifting,Level 3,
HIIT Training,Level 3,
Walking Shoes,Level 2,
Walking Shoes,Level 3,
Outdoor Footwear,Level 2,
Hiking Shoes,Level 3,
Hiking Boots,Level 3,
Recovery Footwear,Level 2,
Recovery Shoes,Level 3,
Slides,Level 3,
Casual Footwear,Level 2,
Lifestyle Sneakers,Level 3,
Supplements,Level 1,
Protein,Level 2,
Whey Protein,Level 3,
Whey Isolate,Level 3,
Hydrolysed Whey,Level 3,
Casein Protein,Level 3,
Plant Protein,Level 3,
Vegan Protein,Level 3,
Protein Blends,Level 3,
Collagen Protein,Level 3,
Performance,Level 2,
Creatine Monohydrate,Level 3,
Creatine Blends,Level 3,
Pre Workout,Level 3,
Pump Formula,Level 3,
Nitric Oxide Boosters,Level 3,
Amino Acids,Level 2,
BCAA,Level 3,
EAA,Level 3,
Glutamine,Level 3,
Fitness Equipment,Level 1,
Strength Equipment,Level 2,
Dumbbells,Level 3,
Barbells,Level 3,
Weight Plates,Level 3,
Kettlebells,Level 3,
Benches,Level 3,
Squat Racks,Level 3,
Accessories,Level 1,
Training Accessories,Level 2,
Lifting Belts,Level 3,
Wrist Wraps,Level 3,
Lifting Straps,Level 3,
Knee Sleeves,Level 3,
Bags,Level 2,
Gym Bags,Level 3,
Duffel Bags,Level 3,
Backpacks,Level 3,
Recovery & Wellness,Level 1,
Massage & Therapy,Level 2,
Massage Guns,Level 3,
Foam Rollers,Level 3,
Massage Balls,Level 3,
Mobility,Level 2,
Mobility Bands,Level 3,
Stretch Straps,Level 3,
